id,RowId,ColId,QCScore,MedianExcess,NumExcess,LS3x3,DBSumPos,DBSumNeg,pGamma,pBeta,-ExcessHSA,-ExcessCRX,pGamma_scrambled
1,NCGC00164591,NCGC00164600,0,63.91071,15,-7.16306,0.03448,-0.71946,0.046912318,-0.02680691,123.48523,0,-0.00203208
2,NCGC00095235,NCGC00164600,0,69.95798,16,-23.24978,0.11592,-1.16855,0.047459395,-0.000676971,177.6983,0,-0.000512165
3,NCGC00167490,NCGC00164600,0,76.28178,22,-11.21182,0.04791,-0.8252,0.022779553,0.015760812,115.77317,115.77317,0.004733454
4,NCGC00179250,NCGC00164600,0,45.10271,21,-12.0354,0.14625,-1.11381,0.050566078,0.035028917,152.06018,152.06018,-0.093607271
5,NCGC00016961,NCGC00164600,0,36.72683,14,-3.09154,0.26843,-0.03363,0.013273041,-0.012520876,49.60155,1.26142,-0.027435235
6,NCGC00159445,NCGC00164600,0,73.35259,21,-10.13563,0.21454,-0.90579,0.046699483,-0.016928929,150.3669,0.10052,0.018444132
8,NCGC00344515,NCGC00164600,0,19.28167,4,0,0.07773,-0.01716,8.69E-05,-0.00030824,2.67449,0,0.021107659
9,NCGC00016864,NCGC00164600,0,67.52368,20,-13.54036,0.14875,-1.01688,0.040443487,0.022363262,144.88254,-19.45312,0.033722131
10,NCGC00246187,NCGC00164600,0,76.76528,6,0,0.13606,-0.30274,-0.001240309,-0.010579783,17.27271,-0.52747,0.010670342
11,NCGC00017063,NCGC00164600,0,32.79905,13,-0.13212,0.4952,-0.03597,0.003063872,-0.054222244,17.48309,0,-0.016803604
12,NCGC00161602,NCGC00164600,0,36.59634,12,-1.6716,0.71069,-0.0187,0.003037631,-0.022630418,31.06186,-1.34312,-0.00634622
13,NCGC00016528,NCGC00164600,0,54.72682,19,-2.01257,0.23101,-0.33091,0.013600038,0.003961406,63.11339,-6.77289,0.032943691
14,NCGC00264106,NCGC00164600,0,44.41992,21,-3.17536,0.31437,-0.17047,0.02946717,0.002329713,111.10961,111.10961,0.085170452
15,NCGC00016612,NCGC00164600,3,85.46453,11,-2.1763,1.00593,-1.24097,0.006140704,-0.00548081,68.55807,-2.41802,-0.0108679
16,NCGC00348199,NCGC00164600,0,54.93432,14,-7.76923,0.38407,-0.07981,0.023214569,-0.046186796,69.73426,4.75467,0.001544489
17,NCGC00090753,NCGC00164600,0,40.69093,14,-0.78794,1.52198,-0.00316,-0.001010729,-0.050039303,7.09289,-0.31112,0.013120825
